year,owner,metric,value
1986,Total,area,4.315790587
1986,Federal,area,4.176635845
1986,Private,area,2.858430881
1987,Total,area,8.101438598
1987,Federal,area,7.568267182
1987,Private,area,3.738600474
1988,Total,area,5.844098868
1988,Federal,area,4.777630159
1988,Private,area,5.752502671
1989,Total,area,5.489797856
1989,Federal,area,4.286414342
1989,Private,area,6.18528104
1990,Total,area,9.11081143
1990,Federal,area,9.360980427
1990,Private,area,6.354260527
1991,Total,area,4.283211719
1991,Federal,area,3.376760916
1991,Private,area,3.550662267
1992,Total,area,15.24343781
1992,Federal,area,9.869981363
1992,Private,area,16.24512723
1994,Total,area,6.617378081
1994,Federal,area,5.746109146
1994,Private,area,6.404655745
1995,Total,area,6.346931885
1995,Federal,area,4.501687752
1995,Private,area,5.398202015
1996,Total,area,4.384374614
1996,Federal,area,3.381804432
1996,Private,area,3.943446801
1997,Total,area,1.37006058
1997,Federal,area,4.409719635
1997,Private,area,0.990103198
1998,Total,area,4.554918108
1998,Federal,area,10.94330063
1998,Private,area,3.347868571
1999,Total,area,5.921896182
1999,Federal,area,2.691050762
1999,Private,area,7.085947533
2000,Total,area,4.222308744
2000,Federal,area,2.460688843
2000,Private,area,4.602692735
2001,Total,area,6.208108701
2001,Federal,area,3.593141615
2001,Private,area,5.702760044
2002,Total,area,4.752637914
2002,Federal,area,3.180268434
2002,Private,area,6.590365119
2003,Total,area,4.726193313
2003,Federal,area,4.54527229
2003,Private,area,0.089997678
2004,Total,area,4.577494846
2004,Federal,area,2.550901534
2004,Private,area,6.749701278
2005,Total,area,6.445508125
2005,Federal,area,4.036124312
2005,Private,area,6.136758912
2006,Total,area,4.715033963
2006,Federal,area,3.378487552
2006,Private,area,9.598582607
2007,Total,area,8.639857776
2007,Federal,area,2.639993934
2007,Private,area,23.23224202
2008,Total,area,5.803515512
2008,Federal,area,3.46831323
2008,Private,area,6.767960693
2009,Total,area,5.974644105
2009,Federal,area,4.750828376
2009,Private,area,8.576756171
2010,Total,area,3.273607441
2010,Federal,area,1.979192398
2010,Private,area,4.280745379
2011,Total,area,4.854373721
2011,Federal,area,5.344218582
2011,Private,area,3.099698479
2012,Total,area,8.378677606
2012,Federal,area,3.133011101
2012,Private,area,12.37592124
2013,Total,area,9.68217436
2013,Federal,area,4.08053941
2013,Private,area,15.26348959
2014,Total,area,7.961994341
2014,Federal,area,3.374971533
2014,Private,area,10.21011934
2015,Total,area,4.571146107
2015,Federal,area,2.795586655
2015,Private,area,4.856624111
2016,Total,area,4.659806014
2016,Federal,area,2.539367927
2016,Private,area,7.470473337
2017,Total,area,5.523755042
2017,Federal,area,2.86992528
2017,Private,area,8.670188919
