year,owner,area
1986,Total,4.315790586677306
1986,Federal,4.176635845239779
1986,Private,2.8584308814157717
1987,Total,8.101438597839088
1987,Federal,7.568267182303763
1987,Private,3.7386004741460224
1988,Total,5.8440988680867125
1988,Federal,4.777630159000305
1988,Private,5.752502670582953
1989,Total,5.489797856040553
1989,Federal,4.2864143421756635
1989,Private,6.185281039760748
1990,Total,9.110811429580991
1990,Federal,9.360980427266766
1990,Private,6.354260526884372
1991,Total,4.283211718968834
1991,Federal,3.376760916441465
1991,Private,3.550662267401846
1992,Total,15.243437810655998
1992,Federal,9.869981362773455
1992,Private,16.24512723337545
1994,Total,6.617378080507586
1994,Federal,5.746109145605608
1994,Private,6.404655745365553
1995,Total,6.346931884584562
1995,Federal,4.501687751555812
1995,Private,5.398202015126687
1996,Total,4.384374613883582
1996,Federal,3.3818044316898033
1996,Private,3.9434468007757775
1997,Total,1.3700605797166774
1997,Federal,4.409719634747564
1997,Private,0.9901031978378165
1998,Total,4.554918107974432
1998,Federal,10.943300629653331
1998,Private,3.3478685705466127
1999,Total,5.921896181669558
1999,Federal,2.691050761972765
1999,Private,7.0859475325080234
2000,Total,4.222308743912401
2000,Federal,2.4606888425817544
2000,Private,4.6026927350082625
2001,Total,6.208108700719816
2001,Federal,3.593141614625669
2001,Private,5.702760044178249
2002,Total,4.75263791419429
2002,Federal,3.180268434226008
2002,Private,6.590365118857359
2003,Total,4.726193313093077
2003,Federal,4.545272290080562
2003,Private,0.0899976782204926
2004,Total,4.57749484620867
2004,Federal,2.550901533763053
2004,Private,6.7497012779439265
2005,Total,6.445508125445546
2005,Federal,4.036124312230875
2005,Private,6.136758912424018
2006,Total,4.715033962580768
2006,Federal,3.3784875515379467
2006,Private,9.598582606908625
2007,Total,8.639857776446474
2007,Federal,2.639993934289094
2007,Private,23.232242020356157
2008,Total,5.803515511571206
2008,Federal,3.4683132298551858
2008,Private,6.767960693079204
2009,Total,5.9746441047657175
2009,Federal,4.7508283762626915
2009,Private,8.576756171416468
2010,Total,3.2736074414527168
2010,Federal,1.9791923982790816
2010,Private,4.280745379476504
2011,Total,4.854373720801224
2011,Federal,5.344218582150758
2011,Private,3.0996984789020896
2012,Total,8.378677605830058
2012,Federal,3.1330111014757374
2012,Private,12.375921237517145
2013,Total,9.682174359658667
2013,Federal,4.080539410420695
2013,Private,15.263489587869449
2014,Total,7.961994341272995
2014,Federal,3.374971532839817
2014,Private,10.21011934359907
2015,Total,4.57114610708134
2015,Federal,2.795586655485647
2015,Private,4.856624111153557
2016,Total,4.65980601389681
2016,Federal,2.53936792728628
2016,Private,7.470473337187558
2017,Total,5.5237550421481965
2017,Federal,2.869925279898794
2017,Private,8.67018891925912
